Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
Crash Dive,(1943),U,106 min,"
Action, Adventure, Drama            ",6.3,,"
    A submarine lieutenant and his commander fall in love with the same girl.",Archie Mayo,Tyrone Power,Anne Baxter,Dana Andrews,James Gleason,"1,366",
 24: Live Another Day,(2014),15,42 min,"
Action, Crime, Drama            ",8.5,,"
    Kate Morgan continues her hunt for Jack, as Heller prepares to address Parliament after a devastating attack. Margot Al-Harazi proves she is willing to sacrifice anything for revenge.",Adam Kane,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,356",
Charlie Chan in Shanghai,(1935),U,71 min,"
Crime, Drama, Mystery            ",7.1,,"
    When a prominent official is murdered at a banquet honoring Charle Chan, the detective and son Lee team up to expose an opium-smuggling ring.",James Tinling,Warner Oland,Irene Hervey,Jon Hall,Russell Hicks,"1,346",
A Blueprint for Murder,(1953),A,77 min,"
Crime, Drama, Film-Noir            ",6.8,,"
    Whitney Cameron suspects his sister-in-law has poisoned his brother and niece, but without proof how does he prevent the murder of his nephew?",Andrew L. Stone,Joseph Cotten,Jean Peters,Gary Merrill,Catherine McLeod,"1,341",
Charlie Chan on Broadway,(1937),A,68 min,"
Comedy, Crime, Mystery            ",7.2,,"
    Returning from European exile where she avoided testifying against her criminal associates, a former singer with a tell-all diary is murdered to ensure her silence.",Eugene Forde,Warner Oland,Keye Luke,Joan Marsh,J. Edward Bromberg,"1,334",
Man in the Attic,(1953),16,82 min,"
Mystery, Thriller            ",6.2,,"
    After an enigmatic, self-described pathologist rents the attic room of a Victorian house, his landlady begins to suspect her lodger is Jack the Ripper.",Hugo Fregonese,Jack Palance,Constance Smith,Byron Palmer,Frances Bavier,"1,332",
The Riverman,(2004 TV Movie),15,91 min,"
Biography, Crime, Drama            ",6.0,,"
    A series of interviews are conducted with convicted serial killer Ted Bundy in hopes of gaining insight into the Green River Killer who is terrorizing Seattle.",Bill Eagles,Bruce Greenwood,Sam Jaeger,Sarah Manninen,Kathleen Quinlan,"1,308",
Charlie Chan in Reno,(1939),A,71 min,"
Crime, Drama, Mystery            ",7.1,,"
    Mary Whitman, an old friend of Charlie's in Reno for a divorce, finds herself accused of murdering the woman her husband planned to marry after the decree became final.",Norman Foster,Sidney Toler,Ricardo Cortez,Phyllis Brooks,Slim Summerville,"1,279",
Charlie Chan in Panama,(1940),A,67 min,"
Adventure, Comedy, Crime            ",7.3,,"
    Inspector Chan investigates a group of travelers, one of whom is a saboteur.",Norman Foster,Sidney Toler,Jean Rogers,Lionel Atwill,Mary Nash,"1,273",
 24: Live Another Day,(2014),15,44 min,"
Action, Crime, Drama            ",8.8,,"
    Jack Bauer takes hostages inside the embassy after being cornered by American troops, Heller makes contact with Jack after his speech to Parliament and Margot forces Naveed to pilot the drones and Kate takes matters into her own hands.",Adam Kane,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,270",
"Murder, Inc.",(1960),X,103 min,"
Biography, Crime, Drama            ",6.6,,"
    The rise and fall of a 1930's Brooklyn crime syndicate, known as Murder Incorporated, led by mobster Lepke Buchalter.",Burt Balaban,Stuart Rosenberg,Stuart Whitman,May Britt,Henry Morgan,"1,269",
Impulse,(1984),18,91 min,"
Horror, Mystery, Sci-Fi            ",5.9,,"
    After a small earthquake in a tiny, quiet town, local citizens start to exhibit bizarre, violent and self-destructive behaviour.",Graham Baker,Tim Matheson,Meg Tilly,Hume Cronyn,John Karlen,"1,253",$2.50M
Soldier of Fortune,(1955),12,96 min,"
Adventure, Crime, Drama            ",6.2,,"
    After Jane Hoyt's journalist husband disappears, she arrives in Hong Kong determined to find him but instead meets shady shipping magnate Hank Lee.",Edward Dmytryk,Clark Gable,Susan Hayward,Michael Rennie,Gene Barry,"1,237",
Charlie Chan in Rio,(1941),A,60 min,"
Comedy, Crime, Mystery            ",7.1,,"
    On the trail of a singer who killed the man she loved in Honolulu, Charlie finds her stabbed to death when he ultimately catches up to her in Rio.",Harry Lachman,Sidney Toler,Mary Beth Hughes,Cobina Wright,Ted North,"1,235",
 Sleepy Hollow,(2013–2017),15,45 min,"
Action, Adventure, Crime            ",7.5,,"
    Ichabod and Abbie hunt a resurrected witch who is leaving a trail of charred corpses in her wake.",Ken Olin,Tom Mison,Nicole Beharie,Orlando Jones,Katia Winter,"1,224",
Charlie Chan's Murder Cruise,(1940),A,76 min,"
Comedy, Crime, Mystery            ",7.3,,"
    Charlie tries to discover the identity of a strangler who strikes multiple times on a cruise ship bound from Honolulu to California.",Eugene Forde,Sidney Toler,Marjorie Weaver,Lionel Atwill,Victor Sen Yung,"1,216",
Inferno,(1953),A,83 min,"
Crime, Drama, Romance            ",7.1,,"
    A tough, hard-driving business tycoon suffers a broken leg and is left to die in the desert by his scheming wife and her greedy lover.",Roy Ward Baker,Robert Ryan,Rhonda Fleming,William Lundigan,Larry Keating,"1,212",
Caprice,(1967),A,95 min,"
Comedy, Crime, Thriller            ",5.6,,"
    An industrial designer causes chaos when she sells a secret cosmetics formula to a rival company.",Frank Tashlin,Doris Day,Richard Harris,Ray Walston,Jack Kruschen,"1,208",$9.98M
Avalanche Express,(1979),A,85 min,"
Action, Thriller            ",5.0,,"
    Soviet KGB General Marenkov defects to the Americans and together with his CIA handler Harry Wargrave they plan an operation meant to reveal the KGB agents in Europe.",Mark Robson,Monte Hellman,Lee Marvin,Robert Shaw,Linda Evans,"1,200",
 24: Live Another Day,(2014),15,44 min,"
Action, Crime, Drama            ",9.1,,"
    Jack Bauer and President Heller endure the unthinkable to thwart the terror attacks of Margot Al-Harazi. Meanwhile, Jordan faces a life-or-death struggle and Kate takes drastic measures to track down Margot before it's too late.",Jon Cassar,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,196",
Mr. Moto's Last Warning,(1939),U,71 min,"
Crime, Drama, Mystery            ",6.5,,"
    Moto thwarts a ruthless band of international agents who try to foment an international incident by mining the entrance to the Suez Canal and blaming the British.",Norman Foster,Peter Lorre,Ricardo Cortez,Virginia Field,John Carradine,"1,189",
The Fantastic Disappearing Man,(1958),X,77 min,"
Drama, Horror, Mystery            ",5.7,,"
    After a vampire leaves his native Balkans, he murders a Czech artist, assumes his identity, and moves in with the dead man's American cousins.",Paul Landres,Francis Lederer,Norma Eberhardt,Ray Stricklyn,John Wengraf,"1,186",
Man on a Tightrope,(1953),A,105 min,"
Drama, Thriller            ",7.1,,"
    Czech circus owner-Clown and his entire troupe employ a daring stratagem in order to escape en masse from behind the iron curtain.",Elia Kazan,Fredric March,Terry Moore,Gloria Grahame,Cameron Mitchell,"1,177",
 24: Live Another Day,(2014),15,44 min,"
Action, Crime, Drama            ",9.1,,"
    Jack and Chloe have a plan in place to eliminate the terrorist threat before any more attacks rock London. With no time to spare, Jack and Kate pursue crucial leads in an attempt to gain the upper hand on the intense circumstances.",Milan Cheylov,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,165",
City in Darkness,(1939),A,75 min,"
Drama, Mystery, Thriller            ",6.8,,"
    While in Paris for a reunion on the eve of World War II, Charlie finds that the murder of an hated businessman leads him to a conspiracy to smuggle arms to Germany.",Herbert I. Leeds,Sidney Toler,Lynn Bari,Richard Clarke,Harold Huber,"1,158",
 24: Live Another Day,(2014),15,44 min,"
Action, Crime, Drama            ",8.8,,"
    Tensions between Heller and PM Davies boil over, and one of them decides to take matters into his own hands. Jack proposes a plan to locate Margot by using someone unexpected as his bait. Jordan raises suspicions about Kate's husband.",Omar Madha,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,157",
 24: Live Another Day,(2014),12,43 min,"
Action, Crime, Drama            ",8.7,,"
    An unlikely duo joins forces to forestall an impending attack. The terrorist reveals her demands. The President orders a military lockdown, but it may be too late.",Omar Madha,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,154",
Murder Over New York,(1940),A,65 min,"
Comedy, Crime, Mystery            ",7.1,,"
    When Charlie's old friend from Scotland Yard is murdered when they attend a police convention in New York, Chan picks up the case he was working on.",Harry Lachman,Sidney Toler,Marjorie Weaver,Robert Lowery,Ricardo Cortez,"1,141",
 24: Live Another Day,(2014),12,43 min,"
Action, Crime, Drama            ",8.8,,"
    Jack and Kate try to save the life of a key player tied to the threat. Jordan is ordered into the field on a perilous mission. Then, after Heller engages Margot to end her savage attacks, he faces a game-changing decision.",Jon Cassar,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,140",
 Sleepy Hollow,(2013–2017),15,45 min,"
Action, Adventure, Crime            ",7.7,,"
    Yet another soldier in the army of evil, the Sandman, seeps into the dreams of the residents of Sleepy Hollow. By infiltrating their minds at night, he tortures them to the brink - all ...                See full summary »
",John F. Showalter,Tom Mison,Nicole Beharie,Orlando Jones,Katia Winter,"1,127",
The Hammond Mystery,(1942),A,63 min,"
Drama, Horror, Mystery            ",6.2,,"
    Surviving members of an aristocratic English family are threatened by a legendary monster when they venture out on chilly, foggy nights.",John Brahm,James Ellison,Heather Angel,John Howard,Bramwell Fletcher,"1,122",
Dead Men Tell,(1941),A,61 min,"
Comedy, Crime, Mystery            ",7.2,,"
    A treasure map in four pieces, the ghost of a hanged pirate, a talking parrot, and a ship full of red herrings complicate Charlie's search for a murderer on board a docked ship.",Harry Lachman,Sidney Toler,Sheila Ryan,Robert Weldon,Victor Sen Yung,"1,121",
Hear No Evil,(1993),15,97 min,"
Thriller            ",5.0,,"
    Jillian Shanahan, a deaf woman, becomes the target of a ruthless and corrupt cop. The cop is looking for a stolen coin, which he plans to keep for himself. A journalist briefly acquires the...                See full summary »
",Robert Greenwald,Marlee Matlin,D.B. Sweeney,Martin Sheen,John C. McGinley,"1,116",$5.68M
Storyville,(1992),15,113 min,"
Drama, Mystery, Thriller            ",5.8,,"
    While investigating his own blackmailing, a young politician uncovers his family's deep secrets.",Mark Frost,James Spader,Joanne Whalley,Jason Robards,Charlotte Lewis,"1,115",$0.42M
 24: Live Another Day,(2014),15,43 min,"
Action, Crime, Drama            ",9.1,,"
    Jack captures Navarro. Kate finds out her husband was framed for Navarro's crimes. Adrian and Chloe are taken hostage by Cheng Zhi who forces Chloe to fix the Override device and Mark surrenders Jack's locations to the Russians.",Milan Cheylov,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,109",
 Lie to Me,(2009–2011),15,44 min,"
Crime, Drama, Mystery            ",8.9,,"
    On behalf of the FBI, the Lightman Group works the case of a copycat serial rapist who blinds his victims. Lightman faces off against the original rapist, a master liar.",Milan Cheylov,Tim Roth,Kelli Williams,Brendan Hines,Monica Raymund,"1,092",
 Lie to Me,(2009–2011),15,42 min,"
Crime, Drama, Mystery            ",7.6,,"
    Lightman's team investigates cases involving a staff sergeant accused of raping a soldier, and a star college basketball player accused of taking a bribe from a wealthy booster.",Adam Davidson,Tim Roth,Kelli Williams,Brendan Hines,Monica Raymund,"1,060",
 24: Live Another Day,(2014),15,43 min,"
Action, Crime, Drama            ",8.9,,"
    Audrey pursues diplomatic channels to try to prevent a full-scale war. Meanwhile, Jack leads Kate and Mark on a mission to locate their target before it's too late and the world is changed forever.",Jon Cassar,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,038",
Night People,(1954),A,93 min,"
Adventure, Crime, Mystery            ",6.5,,"
    During the Cold War, an American soldier is abducted in West Berlin, sparking a recovery effort led by Colonel Steve Van Dyke.",Nunnally Johnson,Gregory Peck,Broderick Crawford,Anita Björk,Rita Gam,"1,035",
 Sleepy Hollow,(2013–2017),15,45 min,"
Action, Adventure, Crime            ",7.7,,"
    Heeled by members of an ancient conspiracy, Ichabod and Abbie team up with Abbie's estranged sister in the search for an ancient artifact.",Paul A. Edwards,Tom Mison,Nicole Beharie,Orlando Jones,Katia Winter,"1,016",
The Most Dangerous Man in the World,(1969),PG,93 min,"
Action, Drama, Thriller            ",5.6,,"
    During the Chinese Cultural Revolution, the US government sends a scientist to China to steal the formula for a new agricultural enzyme developed by the Chinese.",J. Lee Thompson,Gregory Peck,Anne Heywood,Arthur Hill,Alan Dobie,"1,009",
"Lucía, Lucía",(2003),R,110 min,"
Adventure, Comedy, Crime            ",6.0,"
51        
        Metascore
            ","
    A woman trying to cope with the recent disappearance of her husband finds that the event uncovers some dark secrets. Subtitled.",Antonio Serrano,Cecilia Roth,Carlos Álvarez-Nóvoa,Kuno Becker,Margarita Isabel,"1,007",$0.27M
The Blue Bird,(1976),U,95 min,"
Adventure, Drama, Family            ",5.6,,"
    A pair of peasant children, Mytyl ( Patsy Kensit ) and her brother Tyltyl ( Todd Lookinland ), are led on a magical quest for the fabulous Blue Bird of Happiness (Nedezhda Pavlova) by the ...                See full summary »
",George Cukor,Elizabeth Taylor,Jane Fonda,Cicely Tyson,Ava Gardner,973,$0.89M
"Think Fast, Mr. Moto",(1937),PG,70 min,"
Adventure, Crime, Drama            ",6.9,,"
    On a freighter going from San Francisco to Shanghai Mr. Moto solves mysteries caused by a gang of smugglers.",Norman Foster,Peter Lorre,Virginia Field,Thomas Beck,Sig Ruman,966,
11 Harrowhouse,(1974),A,94 min,"
Comedy, Crime, Thriller            ",6.3,,"
    Independent diamond broker and his girlfriend attempt a heist at a major Diamond Exchange house in London.",Aram Avakian,Candice Bergen,Charles Grodin,James Mason,Trevor Howard,961,
